rownames,family,father,mother,midparentHeight,children,childNum,gender,childHeight
490,109,69.5,64.5,69.58000000000001,7,6,female,63.7
773,169,67.0,63.0,67.52000000000001,3,1,male,69.0
379,089,70.5,62.0,68.73,8,1,male,72.0
289,071,70.0,65.0,70.1,6,3,female,67.0
419,097,69.0,68.5,71.49000000000001,10,7,female,65.0
675,146,68.0,63.0,68.02000000000001,6,3,male,66.0
392,090,70.3,62.7,69.00800000000001,7,6,female,63.5
593,133,68.0,65.5,69.37,7,3,male,70.7
499,112,69.0,63.0,68.52000000000001,3,3,female,63.5
139,037,71.0,66.0,71.14,4,3,female,67.0
63,017,73.0,64.5,71.33000000000001,6,5,female,66.5
472,107,69.0,66.0,70.14,9,4,male,69.0
648,141,68.0,63.0,68.02000000000001,8,1,male,70.5
129,035,71.0,69.0,72.76,5,2,male,74.0
911,198,64.0,64.0,66.56,7,1,male,71.5
521,119,69.0,62.0,67.98,5,1,male,73.0
65,018,73.0,64.0,71.06,3,1,female,66.0
813,176,66.5,65.0,68.35,8,4,male,64.5
15,004,75.0,64.0,72.06,5,5,female,63.0
157,042,71.0,65.5,70.87,6,3,male,71.0
41,011,74.0,62.0,70.48,8,8,female,63.0
493,110,69.2,64.0,69.16,4,2,male,66.5
380,089,70.5,62.0,68.73,8,2,male,70.0
188,049,71.5,64.5,70.58000000000001,7,6,female,64.5
764,167,67.0,64.0,68.06,4,4,male,67.0
217,056,71.0,62.0,68.98,5,1,male,72.0
792,173,66.0,67.0,69.18,9,3,male,65.0
53,016,73.0,65.0,71.6,9,4,male,70.2
338,081,70.0,64.0,69.56,4,2,female,65.0
749,165,67.0,65.0,68.6,3,3,female,62.0
720,159,67.0,66.2,69.248,5,3,male,71.5
725,161,67.0,66.0,69.14,8,2,male,71.0
296,072,70.0,65.0,70.1,7,4,female,69.0
702,155,68.0,60.0,66.4,7,7,female,56.0
252,064,70.0,67.0,71.18,5,5,female,60.0
727,161,67.0,66.0,69.14,8,4,male,70.0
462,106,69.5,66.0,70.39,7,1,male,71.0
456,105,69.0,66.5,70.41,6,1,male,71.0
931,203,62.0,66.0,66.64,3,2,female,62.0
816,176,66.5,65.0,68.35,8,7,female,60.5
270,068,70.5,65.0,70.35,5,2,female,65.0
202,053,71.0,63.0,69.52000000000001,9,4,male,64.0
162,043,71.5,65.5,71.12,2,2,female,65.2
556,124,69.0,61.0,67.44,9,3,male,67.5
730,161,67.0,66.0,69.14,8,7,female,65.5
402,093,70.0,60.0,67.4,4,4,female,63.0
703,156,68.0,60.0,66.4,4,1,male,67.5
477,107,69.0,66.0,70.14,9,9,female,64.0
822,177,66.0,65.5,68.37,5,5,female,65.0
772,168,67.0,63.5,67.78999999999999,8,8,female,63.5
106,028,72.0,63.0,70.02000000000001,6,6,female,63.0
566,126,69.0,60.0,66.9,4,1,male,69.0
390,090,70.3,62.7,69.00800000000001,7,4,male,65.2
2,001,78.5,67.0,75.43,4,2,female,69.2
873,189,65.0,66.0,68.14,5,5,female,61.0
562,124,69.0,61.0,67.44,9,9,female,62.0
81,022,72.0,67.0,72.18,3,2,male,71.0
206,053,71.0,63.0,69.52000000000001,9,8,female,63.0
35,011,74.0,62.0,70.48,8,2,male,70.0
776,170,67.5,62.0,67.23,5,1,male,70.0
509,115,69.0,63.5,68.78999999999999,7,3,male,66.0
428,099,69.0,66.0,70.14,8,5,female,65.5
455,104,69.5,66.5,70.66,4,4,female,64.0
367,086,70.0,63.5,69.28999999999999,4,1,male,71.0
92,025,72.0,64.0,70.56,2,2,female,63.0
340,081,70.0,64.0,69.56,4,4,female,62.0
565,125,69.0,60.0,66.9,3,3,female,62.5
346,082,70.0,64.0,69.56,9,6,male,68.5
777,170,67.5,62.0,67.23,5,2,male,69.5
242,062,70.0,69.0,72.26,6,2,male,68.7
14,004,75.0,64.0,72.06,5,4,female,64.5
316,076,70.0,64.0,69.56,7,5,male,66.0
601,134,68.0,65.0,69.1,4,4,female,66.0
388,090,70.3,62.7,69.00800000000001,7,2,male,69.7
274,069,70.0,65.0,70.1,8,1,male,73.0
167,045,71.0,65.0,70.6,3,3,female,62.0
841,183,66.0,60.0,65.4,4,2,male,67.0
927,201,64.0,60.0,64.4,2,2,female,60.0
647,140,68.0,64.0,68.56,10,10,female,63.0
819,177,66.0,65.5,68.37,5,2,male,71.0
485,109,69.5,64.5,69.58000000000001,7,1,male,69.7
915,198,64.0,64.0,66.56,7,5,female,62.0
505,114,69.0,63.0,68.52000000000001,6,5,female,66.0
832,181,66.5,62.5,67.0,7,1,male,70.0
244,062,70.0,69.0,72.26,6,4,female,66.0
567,126,69.0,60.0,66.9,4,2,male,66.0
876,190,65.0,65.0,67.6,9,3,male,68.0
563,125,69.0,60.0,66.9,3,1,male,70.5
687,151,68.7,62.0,67.83000000000001,2,1,male,67.7
190,050,71.0,64.5,70.33000000000001,2,1,male,73.0
783,172,66.0,67.0,69.18,8,2,male,70.5
700,155,68.0,60.0,66.4,7,5,female,60.0
476,107,69.0,66.0,70.14,9,8,female,65.0
682,149,68.2,63.5,68.39,5,2,male,69.0
511,115,69.0,63.5,68.78999999999999,7,5,female,63.0
59,017,73.0,64.5,71.33000000000001,6,1,male,74.0
475,107,69.0,66.0,70.14,9,7,female,65.5
561,124,69.0,61.0,67.44,9,8,female,62.0
857,185,66.0,59.0,64.86,15,13,female,60.0
748,165,67.0,65.0,68.6,3,2,female,62.0
253,065,70.0,67.0,71.18,1,1,female,67.5
22,006,74.0,68.0,73.72,1,1,female,69.5
314,076,70.0,64.0,69.56,7,3,male,68.0
460,105,69.0,66.5,70.41,6,5,female,63.0
161,043,71.5,65.5,71.12,2,1,male,73.0
277,069,70.0,65.0,70.1,8,4,male,65.0
192,051,71.2,63.0,69.62,2,1,female,67.5
386,089,70.5,62.0,68.73,8,8,female,63.0
806,175,66.0,66.0,68.64,6,3,female,66.0
414,097,69.0,68.5,71.49000000000001,10,2,male,71.0
492,110,69.2,64.0,69.16,4,1,male,71.7
344,082,70.0,64.0,69.56,9,4,male,70.0
770,168,67.0,63.5,67.78999999999999,8,6,male,67.0
309,075,70.0,64.7,69.938,7,5,female,65.5
662,144,68.0,63.0,68.02000000000001,4,2,male,68.0
131,035,71.0,69.0,72.76,5,4,male,72.0
664,144,68.0,63.0,68.02000000000001,4,4,female,64.0
872,189,65.0,66.0,68.14,5,4,female,65.0
100,027,72.0,63.0,70.02000000000001,3,3,female,63.0
373,087,70.0,63.0,69.02000000000001,4,3,female,63.7
88,023,72.0,65.0,71.1,7,6,female,65.0
459,105,69.0,66.5,70.41,6,4,female,66.0
331,079,70.5,64.0,69.81,8,4,male,68.0
215,055,71.0,62.0,68.98,5,4,female,62.5
467,106,69.5,66.0,70.39,7,6,female,65.5
122,033,72.0,62.0,69.48,5,1,male,72.0
615,136A,68.5,65.0,69.35,8,6,female,64.0
21,005,75.0,58.5,69.09,6,6,female,62.5
701,155,68.0,60.0,66.4,7,6,female,60.0
72,020,72.7,69.0,73.61000000000001,8,4,female,70.0
107,029,72.5,63.5,70.53999999999999,3,1,female,67.5
271,068,70.5,65.0,70.35,5,3,female,61.5
861,186,65.0,67.0,68.68,4,2,male,66.0
436,101,69.0,66.7,70.518,4,2,male,74.0
103,028,72.0,63.0,70.02000000000001,6,3,female,70.5
